case_id,case_title,method,full_psnr,full_ssim,mask_psnr,mask_mae,edge_similarity,detail_fidelity,time_ms,peak_gpu_mem_mb,output_path,sha256
case01_natural_texture,自然纹理划痕修复与超分增强,退化输入+最近邻放大,21.0414,0.915161,6.7370,98.8506,0.408891,0.179506,0.4199,0.00,paper_results/gpu_full_pipeline/cases/case01_natural_texture/method_outputs/退化输入_最近邻放大.png,9aaa994275e4097661c8c35ad420326c11797f15729cb036c3117cdd2c5960de
case01_natural_texture,自然纹理划痕修复与超分增强,退化输入+双三次放大,21.4560,0.964368,6.7886,98.0236,0.921450,0.916296,2.3835,0.00,paper_results/gpu_full_pipeline/cases/case01_natural_texture/method_outputs/退化输入_双三次放大.png,4ed7d4c8b26557f61e58b70ed087065b868eda1e8569275ac30cdc107cf55551
case01_natural_texture,自然纹理划痕修复与超分增强,退化输入+GPU保真超分,21.4424,0.963838,6.7774,98.1560,0.855279,0.841375,13.5120,38.25,paper_results/gpu_full_pipeline/cases/case01_natural_texture/method_outputs/退化输入_gpu保真超分.png,142e629dce85c68ffb125695e698644c903bef907cfbbaddbf54519e8a5c0810
case01_natural_texture,自然纹理划痕修复与超分增强,本项目GPU：CUDA修复+保真超分,29.0777,0.971350,14.4439,38.8609,0.858337,0.942306,176.8279,38.25,paper_results/gpu_full_pipeline/cases/case01_natural_texture/gpu_project/05_gpu_repaired_enhanced.png,9a2cda483981abf770e07b7e58e2da1718778717a607cf54701436f51dbd50b0
case02_indoor_structure,室内结构小面积遮挡修复与超分增强,退化输入+最近邻放大,21.9102,0.934143,6.1240,102.7265,0.382201,0.138740,0.6354,0.00,paper_results/gpu_full_pipeline/cases/case02_indoor_structure/method_outputs/退化输入_最近邻放大.png,6b6777ea655c572abb4652303c142423b61770bfc958eeadc5ff63620aa97c46
case02_indoor_structure,室内结构小面积遮挡修复与超分增强,退化输入+双三次放大,22.2049,0.975974,6.1625,102.0417,0.924270,0.841500,2.8569,0.00,paper_results/gpu_full_pipeline/cases/case02_indoor_structure/method_outputs/退化输入_双三次放大.png,46673af59a86efe118be833c6584ec73bd64185198af4038f46b935162cf20ed
case02_indoor_structure,室内结构小面积遮挡修复与超分增强,退化输入+GPU保真超分,22.1946,0.975389,6.1538,102.1557,0.834266,0.778516,13.0071,38.25,paper_results/gpu_full_pipeline/cases/case02_indoor_structure/method_outputs/退化输入_gpu保真超分.png,b78b42582863e8bf0284fb80b193cc0801558de81e130d3a6e002899b6c89f1a
case02_indoor_structure,室内结构小面积遮挡修复与超分增强,本项目GPU：CUDA修复+保真超分,29.1367,0.981060,13.1137,43.4555,0.834963,0.903843,27.7558,38.25,paper_results/gpu_full_pipeline/cases/case02_indoor_structure/gpu_project/05_gpu_repaired_enhanced.png,664df05dac0792dbc07129fc82fc7eb32f7f21364e10a3074e81557d01a89a33
case03_scene_depth,复杂场景水印式缺损修复与超分增强,退化输入+最近邻放大,22.1388,0.903215,9.4449,65.2482,0.393195,0.213751,0.8860,0.00,paper_results/gpu_full_pipeline/cases/case03_scene_depth/method_outputs/退化输入_最近邻放大.png,7d237dd9b7b06a1ee1ca7aac07ae7ffbc824f83197c041714e7d3c0efb6b6aa7
case03_scene_depth,复杂场景水印式缺损修复与超分增强,退化输入+双三次放大,22.5164,0.955200,9.4887,64.7931,0.923879,0.953812,2.3144,0.00,paper_results/gpu_full_pipeline/cases/case03_scene_depth/method_outputs/退化输入_双三次放大.png,fa61b8464a4117a19571655f43a638398c0fb5676972601fc91668a6ee8fdf69
case03_scene_depth,复杂场景水印式缺损修复与超分增强,退化输入+GPU保真超分,22.5030,0.954339,9.4778,64.8805,0.849622,0.872383,14.3703,38.25,paper_results/gpu_full_pipeline/cases/case03_scene_depth/method_outputs/退化输入_gpu保真超分.png,6a4a5c8ed34886062a87361393c69001ebdf3116e5c2941e04378a949eee388a
case03_scene_depth,复杂场景水印式缺损修复与超分增强,本项目GPU：CUDA修复+保真超分,29.8354,0.971295,16.8382,26.0064,0.862741,0.932750,28.3310,38.25,paper_results/gpu_full_pipeline/cases/case03_scene_depth/gpu_project/05_gpu_repaired_enhanced.png,003cb48b2df59f07b93ea6f249672daef4dda0e7d5948248277c71cdfbc5ac94
